MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367004740,2023-01-01T00:12:44,29.82318,-93.98898,0.0,0.0,511.0,LITTLE BOB,,WAJ2546,31.0,0.0,16.0,6.0,,52.0,A
368213040,2023-01-01T00:15:23,29.78948,-92.12158,5.6,66.8,69.0,CITATION,IMO1217082,WDM5147,52.0,12.0,24.0,10.0,3.0,57.0,A
366999423,2023-01-01T00:02:22,40.51044,-80.11151,0.0,300.0,107.0,EVANICK,,AEPP,90.0,4.0,,,,32.0,A
377907000,2023-01-01T00:12:55,26.76584,-80.05027,0.1,4.1,75.0,TROPIC JADE,IMO7800265,J8NY,70.0,5.0,90.0,17.0,4.8,71.0,A
316031183,2023-01-01T00:15:46,49.30146,-123.02884,0.0,360.0,511.0,COASTAL CLIPPER,IMO0000000,,60.0,,14.0,4.0,,,B
316023608,2023-01-01T00:13:47,49.15442,-122.95028,0.0,258.4,511.0,KOOTENAY,,,31.0,15.0,19.0,9.0,4.1,52.0,A
367507960,2023-01-01T00:14:58,33.75328,-118.22373,0.0,212.2,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,90.0,A
636020073,2023-01-01T00:14:53,38.96783,-75.19767,0.1,282.0,328.0,CHEMTRANS POLARIS,IMO9308998,D5XN9,80.0,1.0,228.0,32.0,13.1,80.0,A
367579230,2023-01-01T00:10:54,29.84678,-93.97059,0.1,8.1,511.0,TERRY CONNER,,WDG8602,31.0,15.0,17.0,5.0,,57.0,A
367320710,2023-01-01T00:08:49,38.82984,-82.15537,0.0,240.4,216.0,WEST VIRGINIA,,WDE2121,31.0,8.0,42.0,12.0,,56.0,A
367183240,2023-01-01T00:04:53,41.63436,-70.91813,0.0,311.3,511.0,MCKINLEY,IMO8852588,WDD7206,30.0,0.0,28.0,8.0,,0.0,A
367615660,2023-01-01T00:07:07,32.69529,-117.15783,8.4,320.5,511.0,CHECK OUT TIME,,WDH4242,37.0,,21.0,,,,B
368214530,2023-01-01T00:07:32,25.84672,-80.17137,8.1,183.3,511.0,ANGELINA,IMO0000000,WDM5295,37.0,,22.0,7.0,,,B
538007232,2023-01-01T00:03:22,23.60294,-83.24459,16.3,88.4,87.0,AFRICA GAS,IMO9744128,V7RW2,80.0,0.0,,,,80.0,A
636021383,2023-01-01T00:03:25,31.95768,-80.64646,9.5,105.5,105.0,LARGO EAGLE,IMO9935911,5LDR6,80.0,0.0,183.0,32.0,8.9,80.0,A
